SAMPLE ID	IGSN	SOURCE	REFERENCE	EXPEDITION ID	LATITUDE	LONGITUDE	LOC PREC	MAX ELEVATION	MIN ELEVATION	MIN AGE	AGE	MAX AGE	METHOD	ANALYZED MATERIAL	ROCK TYPE	ROCK NAME	MINERAL	SIO2	TIO2	AL2O3	FEOT	MGO	CAO	NA2O	K2O	SR87_SR86	ND143_ND144
JS20025-001		EARTHCHEMDB	RHODES, J M, 2015	JS20025-001	18.66	-155.737	0.0001	-3596	-3596				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		50.31	1.78	12.21		11.36	9.39	1.92	0.28		
JS20019-011		EARTHCHEMDB	RHODES, J M, 2015	JS20019-011	18.8227	-155.72	0.0001	-1721	-1721				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		48.78	1.59	10.52		16.64	8.29	1.6	0.27		
PETDB-3215-L00-006		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		49.99	1.83	11.58		12.63	9.21	1.89	0.3		
PETDB-3215-L00-512		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		50.47	2.06	12.27		10.69	9.74	2.08	0.38		
PETDB-3212-SR0940-18.35		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		46.99	2.22	11.61		13.59	9.71	1.79	0.28		
MOA9902-013-039		EARTHCHEMDB	RHODES, J M, 2015	MOA1999	19.1055	-156.321	0.0001	-4400	-4400				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		50.82	1.99	13.07		8.45	10.44	2.11	0.33		
PIS1991-184-009		EARTHCHEMDB	RHODES, J M, 2015	PIS1991-184-009	18.8517	-155.67	0.0001	-775	-775				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		49.34	1.64	11.04		15.42	8.65	2.14	0.26		
PETDB-3212-SR0269-0.00		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		46.69	1.82	8.61		20.81	7.49	1.42	0.3		
PETDB-3212-SR0300-6.50		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		48.01	2.29	10.9		14.08	9.09	1.88	0.34		
PETDB-3215-L92-181		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		49.68	2	11.41		13.68	8.71	1.86	0.36		
HESTFJALL 13-IS-26		EARTHCHEMDB	EASON, D; SINTON, J M; GROENVOLD, K; KURZ, M D, 2015	nr	63.995	-20.6522	0.0001	99	99				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		48.28	1.66	15.26	12.23	8.69	12.26	1.66	0.12		
PETDB-3215-ML-127		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.58	2.1	13.77		6.56	10.61	2.29	0.39		
JS20020-023		EARTHCHEMDB	RHODES, J M, 2015	JS20020-017	18.8305	-155.695	0.0001	-489	-489				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		50.14	3.2	13.28		6.5	9.37	2.72	0.52		
HRÚTFELL 6-IS-38		EARTHCHEMDB	EASON, D; SINTON, J M; GROENVOLD, K; KURZ, M D, 2015	nr	64.3891	-21.2219	0.0001	773	773				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		48.45	1.79	15.04	11.85	8.3	12.7	1.52	0.24		
SR699 3.7-3.4		EARTHCHEMDB	DEFELICE, C; MALLICK, S; SAAL, A E; HUANG, S, 2019	nr	19.7408	-155.05	0.0001						MC-ICP-MS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT										0.70324	0.513056
PETDB-3215-ML-44		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.65	2.04	13.67		6.91	10.5	2.03	0.37		
MOA9902-017-044		EARTHCHEMDB	RHODES, J M, 2015	MOA1999	18.942	-155.887	0.0001	-1700	-1700				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.6	2.15	13.57		7.28	10.5	2.37	0.35		
PETDB-3212-SR0915-13.10		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		47.57	2.33	12.02		12.59	10.22	1.83	0.12		
PETDB-3215-NE-4		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		50.86	1.92	12.93		9.66	9.93	2.14	0.37		
PETDB-3215-ML-120		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		46.95	1.3	8.4		22.2	6.58	1.48	0.25		
PETDB-3211-R219-8.0-8.8		EARTHCHEMDB	RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G, 2012	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		49.95	2.64	14.06		6.89	11.09	2.54	0.35		
PETDB-3215-ML-33		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.84	1.99	13.52		7.5	10.38	2.4	0.35		
JS20014-014		EARTHCHEMDB	RHODES, J M, 2015	JS20014-014	19.4623	-155.958	0.0001	-944.85	-944.85				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		52.06	2	13.44		7.66	10.26	2.16	0.36		
PETDB-3215-ML-116		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.54	2.04	13.52		7.59	10.56	2.17	0.35		
PETDB-3215-NE-9		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		50.48	1.81	12.49		10.64	9.67	2.1	0.35		
MOA9902-018-019		EARTHCHEMDB	RHODES, J M, 2015	MOA1999	18.8069	-155.85	0.0001	-3100	-3100				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		47.99	1.5	9.67		18.72	7.71	1.52	0.23		
PETDB-3215-ML-81		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.55	2.05	13.62		6.99	10.51	2.08	0.37		
PETDB-3215-ML-35		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.38	2.07	13.58		7.06	10.59	2.19	0.36		
PETDB-3215-NE-24		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.67	2.04	13.91		7.29	10.62	2.06	0.36		
PETDB-3212-SR0109-2.10		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		50.86	2.09	12.86		9.61	9.97	1.76	0.37		
PETDB-3215-ML-3		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.39	2.06	13.63		6.98	10.57	2.09	0.37		
PETDB-3215-L91-564		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.09	2.23	13.48		7.76	10.37	2.33	0.35		
PETDB-3215-R149-1.3		EARTHCHEMDB	RHODES, J M, 2015	nr	19.7408	-155.05	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		48.47	1.97	11.45		14.52	8.53	1.79	0.2		
JS20296-020		EARTHCHEMDB	GREENE, A R; GARCIA, M O; WEIS, D; ITO, G; KUGA, M; ROBINSON, J; YAMASAKI, S, 2010	JS20296	21.6338	-159.041	0.0001	-3797	-3797				Unknown	GLASS	IGNEOUS:VOLCANIC:MAFIC	BASALT		44.75	2.77	14.13		6.07	12.25	3.78	1.32		
JS20296-020		EARTHCHEMDB	GREENE, A R; GARCIA, M O; WEIS, D; ITO, G; KUGA, M; ROBINSON, J; YAMASAKI, S, 2010	JS20296	21.6338	-159.041	0.0001	-3797	-3797				FL-ES	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT									2.05		
JS20296-020		EARTHCHEMDB	GREENE, A R; GARCIA, M O; WEIS, D; ITO, G; KUGA, M; ROBINSON, J; YAMASAKI, S, 2010	JS20296	21.6338	-159.041	0.0001	-3797	-3797				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		45.27	2.74	14.02		6.1	12.4	3.16	2.1		
PETDB-3215-ML-129		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.73	2.05	13.7		7.03	10.59	2.17	0.37		
MOA9902-017-040		EARTHCHEMDB	RHODES, J M, 2015	MOA1999	18.942	-155.887	0.0001	-1700	-1700				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.38	2.42	12.97		8.03	9.94	2.38	0.42		
PETDB-3215-KS87-01		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		50.05	1.7	11.55		12.66	10.11	1.89	0.28		
PETDB-3212-SR0049.03		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		51.49	2.24	13.12		7.76	10.37	1.4	0.32		
PETDB-3211-R204-1.1-1.8		EARTHCHEMDB	RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G, 2012	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		45.87	1.34	7.56		24.24	6.8	1.24	0.15		
PETDB-3211-R162-1.55-2.3		EARTHCHEMDB	RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G, 2012	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		50.67	2.58	13.81		6.85	10.85	2.1	0.37		
KJALHRAUN-IS-47H		EARTHCHEMDB	EASON, D; SINTON, J M; GROENVOLD, K; KURZ, M D, 2015	nr	64.797	-19.4688	0.0001						EMP	GLASS	IGNEOUS:VOLCANIC:MAFIC	BASALT		49.7	3.02	13.2	14.7	5.42	9.8	2.61	0.5		
ÞÓRISJÖKULL 2-IS-63A		EARTHCHEMDB	EASON, D; SINTON, J M; GROENVOLD, K; KURZ, M D, 2015	nr	64.5349	-20.8079	0.0001	1027	1027				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		48.61	0.97	16.11	9.89	9.27	13.69	1.29	0.02		
JS20019-021		EARTHCHEMDB	RHODES, J M, 2015	JS20019-021	18.8227	-155.715	0.0001	-1352	-1352				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.47	2.35	13.59		6.64	10.42	2.34	0.37		
KAK1982-ML4-010		EARTHCHEMDB	RHODES, J M, 2015	KAK1982	18.6192	-155.775	0.0001	-2113	-2113				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		49.21	1.62	10.77		15.64	8.5	1.74	0.27		
PIS1991-184-008		EARTHCHEMDB	RHODES, J M, 2015	PIS1991-184-008	18.8517	-155.664	0.0001	-1020	-1020				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.53	2.23	13.66		7.11	10.54	2.63	0.36		
PETDB-3212-SR0346-5.60		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		46.97	1.86	9.8		17.97	8.27	1.6	0.23		
HESTFJALL 10-IS-23		EARTHCHEMDB	EASON, D; SINTON, J M; GROENVOLD, K; KURZ, M D, 2015	nr	63.9993	-20.6902	0.0001	200	200				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		48.76	1.89	14.85	12.59	7.39	12.62	1.66	0.14		
PETDB-3212-SR0836-5.80		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		46.82	2.18	11.69		13.66	9.98	1.68	0.11		
PETDB-3215-ML-279		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.39	2.02	13.52		7.83	10.39	2.45	0.36		
FANNTÓFELL 1-IS-99		EARTHCHEMDB	EASON, D; SINTON, J M; GROENVOLD, K; KURZ, M D, 2015	nr	64.5356	-20.9428	0.0001	562	562				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		48.99	1.72	14.03	11.62	11.09	11.43	1.28	0.35		
PETDB-1172-BTHO		EARTHCHEMDB	REHKAEMPER, M; HALLIDAY, A N; FITTON, J G; LEE, D C; WIENEKE, M; ARNDT, N, 1999	nr	64.1	-21.8	0.01						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		47.35	0.93	15.06		9.93	13.12	1.91	0.017		
MOA9902-014-004		EARTHCHEMDB	RHODES, J M, 2015	MOA1999	18.8167	-156.056	0.0001	-4400	-4400				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		49.44	1.82	11.36		13.36	9.23	1.79	0.26		
JS20024-024		EARTHCHEMDB	RHODES, J M, 2015	JS20024-024	18.649	-155.764	0.0001	-3650	-3650				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		47.95	1.4	9.37		19.87	7.3	1.51	0.22		
JS20023-013		EARTHCHEMDB	RHODES, J M, 2015	JS20023-013	18.6808	-155.688	0.0001	-3618	-3618				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		46.62	1.08	6.99		26.68	5.57	1.15	0.16		
R685-5.5-6.1		EARTHCHEMDB	DEFELICE, C; MALLICK, S; SAAL, A E; HUANG, S, 2019	nr	19.7408	-155.05	0.0001						ICPMS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT			1.96	10.13		14.97	10.24	1.63	0.37		
R685-5.5-6.1		EARTHCHEMDB	DEFELICE, C; MALLICK, S; SAAL, A E; HUANG, S, 2019	nr	19.7408	-155.05	0.0001						MC-ICP-MS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT										0.703155	0.513061
MOA9902-029-004		EARTHCHEMDB	RHODES, J M, 2015	MOA1999	19.4245	-156.135	0.0001	-3600	-3600				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		50.42	2.04	12.38		10.45	9.74	1.93	0.33		
JS20023-009		EARTHCHEMDB	RHODES, J M, 2015	JS20023-009	18.6783	-155.686	0.0001	-3808	-3808				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		46.65	1.27	8.25		23.48	6.5	1.35	0.19		
