SAMPLE ID	IGSN	SOURCE	REFERENCE	EXPEDITION ID	LATITUDE	LONGITUDE	LOC PREC	MAX ELEVATION	MIN ELEVATION	MIN AGE	AGE	MAX AGE	METHOD	ANALYZED MATERIAL	ROCK TYPE	ROCK NAME	MINERAL	SIO2	TIO2	AL2O3	FEOT	MGO	CAO	NA2O	K2O	SR87_SR86	ND143_ND144
PETDB-3215-ML-38		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.61	2.09	13.61		6.93	10.54	2.14	0.35		
PETDB-3215-R130-7.0		EARTHCHEMDB	RHODES, J M, 2015	nr	19.7408	-155.05	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		45.53	1.78	11.15		18.99	6.97	1.04	0.09		
JS20017-013		EARTHCHEMDB	RHODES, J M, 2015	JS20017-013	19.3768	-155.937	0.0001	-1040	-1040				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	ALKALI BASALT		46.81	3.49	15.73		6.09	8.54	3.59	0.9		
PETDB-3215-ML-259		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.68	2.08	13.83		6.88	10.52	2.38	0.38		
MOA9902-002-021		EARTHCHEMDB	RHODES, J M, 2015	MOA1999	18.6972	-155.771	0.0001	-3600	-3600				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		47.33	1.33	8.67		21.61	6.89	1.38	0.22		
PETDB-3212-SR0127-4.75		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		48.75	2.94	14.36		6.34	11.04	2.29	0.59		
PETDB-3211-R006-0.85-1.2		EARTHCHEMDB	RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G, 2012	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		50.31	2.58	13.15		7.75	10.62	2.39	0.48		
PETDB-3212-SR0959-3.00		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		45.94	1.29	7.11		25.88	6.31	1.02	0.14		
PETDB-3212-SR0463-7.00		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		47.91	1.92	10.34		16.25	8.56	1.55	0.21		
JS20018-006		EARTHCHEMDB	RHODES, J M, 2015	JS20018-005	19.4627	-155.985	0.0001	-1196	-1196				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.56	2.31	13.67		6.13	10.31	2.56	0.46		
PETDB-3215-ML-219		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51	1.75	12.17		10.76	9.18	2.03	0.29		
PETDB-3215-R108-4.45		EARTHCHEMDB	RHODES, J M, 2015	nr	19.7408	-155.05	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		49.91	2	13.06		9.54	10.13	2.26	0.18		
TFH-IT-473		EARTHCHEMDB	EASON, D; SINTON, J M, 2009	nr	64.2824	-20.8691	0.001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		49.03	1.78	15.46	12.15	8.39	11.49	1.48	0.18		
GBH-IT‐87		EARTHCHEMDB	SINTON, J M; GROENVOLD, K; SAEMUNDSSON, K, 2005	nr	64.2307	-21.0022	1e-06						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		48.45	1.36	15.62	11.11	8.66	12.9	1.81	0.1		
PETDB-3215-NE-46		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.95	2.09	13.78		6.82	10.57	2.48	0.44		
PETDB-3215-ML-123		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.7	2.01	13.34		7.83	10.24	2.54	0.36		
PETDB-3215-NE-25		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.88	2.1	13.78		7.18	10.46	1.98	0.4		
HAWAII 2000-13		EARTHCHEMDB	ISRAEL, C; BOYET, M; DOUCELANCE, R; BONNAND, P; FROSSARD, P; AUCLAIR, D; BOUVIER, A, 2019	nr	20.083	-155.717	0.01						TIMS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT											0.512877
HAWAII 2000-13		EARTHCHEMDB	ISRAEL, C; BOYET, M; DOUCELANCE, R; BONNAND, P; FROSSARD, P; AUCLAIR, D; BOUVIER, A, 2019	nr	20.083	-155.717	0.01						Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		48.77	3.31	13.27		7.03	11.13	2.39	0.78		
MOA9902-018-029		EARTHCHEMDB	RHODES, J M, 2015	MOA1999	18.8069	-155.85	0.0001	-3100	-3100				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		50.93	2.05	13.15		8.81	10.31	2.12	0.31		
GEITLANDSJÖKULL 3-IS-110		EARTHCHEMDB	EASON, D; SINTON, J M; GROENVOLD, K; KURZ, M D, 2015	nr	64.5811	-20.6348	0.0001	1041	1041				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		49.19	1.43	16.07	10.93	7.33	13.15	1.44	0.11		
PETDB-3215-NE-53		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.84	2.02	13.72		6.95	10.56	2.45	0.4		
JS20023-006		EARTHCHEMDB	RHODES, J M, 2015	JS20023-006	18.6758	-155.686	0.0001	-3921	-3921				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		46.66	1.26	8.21		23.18	6.64	1.29	0.19		
JS20023-018		EARTHCHEMDB	RHODES, J M, 2015	JS20023-018	18.6867	-155.687	0.0001	-3174	-3174				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		47.58	1.43	9.18		19.88	7.31	1.48	0.22		
PETDB-3215-L00-015		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		49.56	1.69	10.77		14.99	8.61	1.83	0.34		
JS20019-007		EARTHCHEMDB	RHODES, J M, 2015	JS20019-007	18.8228	-155.721	0.0001	-1825	-1825				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		47.27	1.33	8.68		21.91	6.96	1.28	0.22		
PETDB-3212-SR0826-20.30		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		47.37	2.32	11.93		12.69	9.92	1.69	0.16		
R700-2.9-3.1		EARTHCHEMDB	DEFELICE, C; MALLICK, S; SAAL, A E; HUANG, S, 2019	nr	19.7408	-155.05	0.0001						ICPMS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT			2.44	12.38		8.73	12.14	2.1	0.44		
R700-2.9-3.1		EARTHCHEMDB	DEFELICE, C; MALLICK, S; SAAL, A E; HUANG, S, 2019	nr	19.7408	-155.05	0.0001						MC-ICP-MS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT										0.703245	0.513046
PETDB-3212-SR0019-1.30		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		49.8	1.73	11.42		13.59	8.9	1.48	0.3		
PETDB-3212-SR0462-2.00		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		49.91	2.34	12.78		8.54	10.71	2.06	0.32		
MOA9902-004-015		EARTHCHEMDB	RHODES, J M, 2015	MOA1999	18.62	-155.775	0.0001	-4500	-4500				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		49.35	1.87	11.23		14.02	8.77	2.02	0.32		
PETDB-3215-ML-84		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		46.9	1.3	8.29		22.21	6.58	1.16	0.25		
PETDB-3212-SR0604-2.50		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		49.27	2.1	11.65		11.63	10.62	1.77	0.29		
MOA9902-015-003		EARTHCHEMDB	RHODES, J M, 2015	MOA1999	18.95	-155.983	0.0001	-2800	-2800				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		50.88	1.84	12.6		10.31	9.63	2.17	0.38		
HESTFJALL 8-IS-21		EARTHCHEMDB	EASON, D; SINTON, J M; GROENVOLD, K; KURZ, M D, 2015	nr	63.9801	-20.7167	0.0001	73	73				EMP	GLASS	IGNEOUS:VOLCANIC:MAFIC	BASALT		48.7	1.99	13.8	12.9	7.26	12.9	2.18	0.16		
HESTFJALL 8-IS-21		EARTHCHEMDB	EASON, D; SINTON, J M; GROENVOLD, K; KURZ, M D, 2015	nr	63.9801	-20.7167	0.0001	73	73				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		46.8	1.64	14.56	12.18	8.46	12.01	2.05	0.14		
KJALFELL 1-IS-41A		EARTHCHEMDB	EASON, D; SINTON, J M; GROENVOLD, K; KURZ, M D, 2015	nr	64.7689	-19.5	0.0001	640	640				EMP	GLASS	IGNEOUS:VOLCANIC:MAFIC	BASALT		47.2	1.53	15.7	12	8.33	12.3	2.14	0.13		
JS20016-005		EARTHCHEMDB	RHODES, J M, 2015	JS20016-005	18.823	-155.725	0.0001	-2095	-2095				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		50.92	1.97	12.65		9.6	10.22	1.92	0.3		
PETDB-3212-SR0212-8.20		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		47.65	2	10.17		16.69	8.84	1.52	0.28		
PIS1991-183-014		EARTHCHEMDB	RHODES, J M, 2015	PIS1991-183-014	18.8784	-155.691	0.0001	-650	-650				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		49.52	1.85	11.68		13.34	9.15	2.28	0.3		
PETDB-3215-L81-34		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.48	2.17	13.79		6.87	10.34	2.06	0.44		
PETDB-3212-SR0139-1.20		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		47.81	3.19	14.31		7.17	11.25	2.28	0.21		
PETDB-3211-R056-1.0-1.5		EARTHCHEMDB	RHODES, J M; HUANG, S; FREY, F A; PRINGLE, M; XU, G, 2012	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		50.24	2.56	13.04		7.86	10.71	2.27	0.34		
PETDB-3215-SR0083-7.85		EARTHCHEMDB	RHODES, J M, 2015	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		49.91	2.12	13.028		9.18	10.261	1.97	0.19		
MOA9902-003-002		EARTHCHEMDB	RHODES, J M, 2015	MOA1999	18.6563	-155.8	0.0001	-4400	-4400				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		49.35	1.82	11.08		14.09	8.62	1.92	0.43		
KAK1982-ML4-022		EARTHCHEMDB	RHODES, J M, 2015	KAK1982	18.6192	-155.775	0.0001	-2113	-2113				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		50.48	2.17	12.31		10.45	9.65	2.05	0.41		
PETDB-3215-NE-19		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		52.31	2.14	14.09		6.96	10.67	2.18	0.44		
JS20020-013		EARTHCHEMDB	RHODES, J M, 2015	JS20020-010	18.8235	-155.708	0.0001	-899	-899				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		49.34	1.81	11.22		14.01	8.72	1.73	0.28		
MOA9902-010-009		EARTHCHEMDB	RHODES, J M, 2015	MOA1999	19.2028	-156.078	0.0001	-3400	-3400				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.26	2.32	14.13		6.2	10.26	2.59	0.32		
JS20017-011		EARTHCHEMDB	RHODES, J M, 2015	JS20017-011	19.3742	-155.933	0.0001	-794	-794				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	ALKALI BASALT		46.54	3.47	15.79		6.12	8.65	3.9	0.87		
PETDB-3212-SR0683-5.75		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		47.22	1.63	9.1		19.55	7.85	1.36	0.15		
PETDB-3212-SR0157-6.25		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		45.76	1.6	8.02		22.09	7.42	1.19	0.21		
PETDB-3212-SR0-791-9.50		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		47.5	2.53	12.48		11.49	10.25	1.86	0.11		
PETDB-3215-ML-66		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		50.31	1.71	11.99		12.1	9.34	2.15	0.32		
JS20023-019		EARTHCHEMDB	RHODES, J M, 2015	JS20023-019	18.687	-155.695	0.0001	-3135	-3135				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		46.79	1.19	7.99		23.35	6.51	1.26	0.17		
PETDB-3215-ML-16		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.75	2.14	13.77		6.79	10.48	2.36	0.46		
PIS1991-183-002		EARTHCHEMDB	RHODES, J M, 2015	PIS1991-183-002	18.882	-155.705	0.0001	-1135	-1135				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		47.23	1.33	8.63		21.99	6.89	1.64	0.22		
PETDB-3215-L00-012		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.91	2.16	13.46		7.04	10.33	2.28	0.46		
PETDB-3212-SR0184-2.80		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		46.49	1.82	8.38		20.82	7.45	1.38	0.29		
PETDB-3215-L00-527		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		49.31	1.74	11.2		14.29	8.77	1.8	0.31		
PETDB-3212-SR0734-2.30		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		46.82	2.06	11.09		15.53	9.44	1.71	0.17		
PETDB-3215-L91-55		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.65	2.08	13.56		7.4	10.41	2.3	0.3		
JS20025-015		EARTHCHEMDB	RHODES, J M, 2015	JS20025-015	18.6732	-155.743	0.0001	-3198	-3198				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		47.92	1.35	9.09		20.83	7.1	1.39	0.21		
PETDB-3212-SR0040-1.07		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		45.54	1	6.31		27.28	5.54	0.97	0.2		
PETDB-3212-SR0392-4.30		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		46.41	1.62	8.23		21.62	7.17	1.34	0.24		
PETDB-3215-NE-26		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.79	2.06	13.85		7.08	10.58	2.06	0.41		
PETDB-3212-SR0167-5.90		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		47.85	3	13.46		8.94	10.39	2.11	0.22		
MOA9902-002-003		EARTHCHEMDB	RHODES, J M, 2015	MOA1999	18.6972	-155.771	0.0001	-3600	-3600				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		48.46	1.65	10.12		17.21	7.97	1.61	0.3		
PETDB-3212-SR0930-15.85		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		46.54	1.54	8.26		22.11	7.13	1.05	0.11		
PETDB-3297-K-5		EARTHCHEMDB	ZHONG, Y; CHEN, L-H; WANG, X-J; ZHANG, G-L; XIE, L; ZENG, G, 2017	nr	19.62	-155.93	0.01						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	ALKALI BASALT		45.16	2.56	16.08		6.83	10.51	2.28	0.54		
PETDB-3215-ML-51		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.45	2.11	13.77		7.28	10.48	2.05	0.43		
PETDB-3215-ML-85		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		46.88	1.32	8.55		21.91	6.66	1.21	0.26		
PETDB-3215-ML-132		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		52.05	1.99	13.35		7.38	10.26	2.13	0.34		
KJALFELL 3-IS-46B		EARTHCHEMDB	EASON, D; SINTON, J M; GROENVOLD, K; KURZ, M D, 2015	nr	64.7805	-19.538	0.0001	975	975				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		48.3	1.45	15.53	12.13	9.04	12.08	1.54	0.11		
PETDB-3212-SR0361-7.20		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		46.95	1.77	9.32		19.01	7.85	1.61	0.27		
MOA9902-017-017		EARTHCHEMDB	RHODES, J M, 2015	MOA1999	18.942	-155.887	0.0001	-1700	-1700				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		49.7	1.89	11.59		12.77	9.07	2.06	0.32		
JS20296-013		EARTHCHEMDB	GREENE, A R; GARCIA, M O; WEIS, D; ITO, G; KUGA, M; ROBINSON, J; YAMASAKI, S, 2010	JS20296	21.5881	-159.055	0.0001	-3949	-3949				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		49.43	2.28	11.61		12.34	8.96	2.09	0.42		
JS20018-002		EARTHCHEMDB	RHODES, J M, 2015	JS20018-001	19.4668	-155.988	0.0001	-1242	-1242				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.89	2.03	13.36		7.71	10.23	2.35	0.36		
TRÖLLADALUR 4-IS-59		EARTHCHEMDB	EASON, D; SINTON, J M; GROENVOLD, K; KURZ, M D, 2015	nr	63.9713	-21.3007	0.0001	248	248				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		48.01	1.21	15.9	10.71	10.56	12.7	1.14	0.06		
PETDB-3214-SR0823-10.80		EARTHCHEMDB	HUANG, S; VOLLINGER, M; FREY, F A; RHODES, J M; ZHANG, Q, 2016	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		47.54	2.39	12.06		12.3	10.23	1.38	0.1		
PETDB-3212-SR0397-2.00		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		48.38	2.02	10.91		14.05	9.11	1.81	0.3		
R686-4.9-5.1		EARTHCHEMDB	DEFELICE, C; MALLICK, S; SAAL, A E; HUANG, S, 2019	nr	19.7408	-155.05	0.0001						ICPMS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT			1.99	10.09		15.07	10.34	1.6	0.29		
R686-4.9-5.1		EARTHCHEMDB	DEFELICE, C; MALLICK, S; SAAL, A E; HUANG, S, 2019	nr	19.7408	-155.05	0.0001						MC-ICP-MS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT										0.703157	0.513068
PETDB-3215-NE-44		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.73	2.38	13.58		5.99	9.95	2.64	0.49		
PETDB-3215-SR0040-1.07		EARTHCHEMDB	RHODES, J M, 2015	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		45.54	1	6.306		27.277	5.543	0.966	0.2		
PETDB-3215-NE-14		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		52.41	2.08	13.71		6.97	10.64	2.26	0.37		
JS20018-010		EARTHCHEMDB	RHODES, J M, 2015	JS20018-009	19.4647	-155.976	0.0001	-1128	-1128				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.81	2.02	13.37		7.62	10.21	2.3	0.36		
PETDB-3215-NE-33		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.95	2.06	13.79		7.07	10.53	1.99	0.42		
PETDB-3212-SR0401-2.85		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		45.03	1.21	6.46		26.7	5.75	1.09	0.19		
JS20024-018		EARTHCHEMDB	RHODES, J M, 2015	JS20024-018	18.6417	-155.766	0.0001	-3822	-3822				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	PICRITE		47.36	1.26	8.79		21.75	6.92	1.3	0.19		
PIS1991-185-010		EARTHCHEMDB	RHODES, J M, 2015	PIS1991-185-010	18.7791	-155.715	0.0001	-1515	-1515				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		50.52	1.97	12.69		9.7	9.84	2.23	0.32		
MOA9902-017-018		EARTHCHEMDB	RHODES, J M, 2015	MOA1999	18.942	-155.887	0.0001	-1700	-1700				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		50.67	2.24	12.37		9.97	9.5	1.95	0.37		
PETDB-3214-SR0832-2.40		EARTHCHEMDB	HUANG, S; VOLLINGER, M; FREY, F A; RHODES, J M; ZHANG, Q, 2016	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		47.24	2.36	12.06		12.24	10.31	1.74	0.14		
KJALHRAUN-IS-47J		EARTHCHEMDB	EASON, D; SINTON, J M; GROENVOLD, K; KURZ, M D, 2015	nr	64.797	-19.4688	0.0001						EMP	GLASS	IGNEOUS:VOLCANIC:MAFIC	BASALT		49.2	2.97	13.2	14.6	5.69	10.2	2.58	0.43		
LGH-IT‐418		EARTHCHEMDB	SINTON, J M; GROENVOLD, K; SAEMUNDSSON, K, 2005	nr	64.6799	-19.7822	1e-06						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		47.53	1.24	16.33	10.88	8.95	13.13	1.69	0.07		
PETDB-3212-SR0907-1.65		EARTHCHEMDB	RHODES, J M; VOLLINGER, M, 2004	nr	19.51	-155.5	0.0001						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		50.18	2.24	12.65		9.02	10.82	1.91	0.27		
PETDB-3215-L89-06A		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		49.49	1.75	11.23		14.29	8.73	1.95	0.28		
MOA9902-024-005		EARTHCHEMDB	RHODES, J M, 2015	MOA1999	19.0333	-155.978	0.0001	-2100	-2100				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		51.84	2.06	13.77		6.96	10.65	2.03	0.42		
PETDB-3215-L91-191		EARTHCHEMDB	RHODES, J M, 2015	nr	19.3	-155.5	0.1						XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		50.67	2.06	12.68		9.69	9.99	1.95	0.37		
MOA9902-014-005		EARTHCHEMDB	RHODES, J M, 2015	MOA1999	18.8167	-156.056	0.0001	-4400	-4400				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		50.74	2.01	12.93		8.82	10.32	2.15	0.3		
