SAMPLE ID	IGSN	REFERENCES	EXPEDITION ID	LATITUDE	LONGITUDE	LOC PREC	MIN ELEVATION	MAX ELEVATION	MIN AGE	AGE	MAX AGE	METHODS	ANALYZED MATERIAL	ROCK TYPE	ROCK NAME	MINERAL	TECTONIC SETTING	SIO2	TIO2	AL2O3	FE2O3	FE2O3T	FEO	FEOT	MGO	CAO	NA2O	K2O	P2O5
ATL0150-008-002A		KAY, 1970	ATL0150	31.82	-42.42	0.01	-3700	-3700				AAS; XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OFF-AXIS_SPREADING_CENTER	49	1.38	16				9.9	8.5	10.5	2.7	0.13	
ATL0150-008-542		MUIR, 1966	ATL0150	31.82	-42.42	0.01	-3700	-3700				Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OFF-AXIS_SPREADING_CENTER	49.76	1.49	14.85	2.16		8.27		8.56	11.17	2.69	0.15	0.13
ATL0150-008-545		MUIR, 1966	ATL0150	31.82	-42.42	0.01	-3700	-3700				Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OFF-AXIS_SPREADING_CENTER	49.8	1.51	14.76	1.85		8.64		8.56	11.1	2.68	0.15	0.13
ATL0150-008-AM2		SHIDO, 1971	ATL0150	31.82	-42.42	0.01	-3700	-3700				Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		OFF-AXIS_SPREADING_CENTER	50.05	1.54	15.19	1.49		8.42		8.46	11.01	2.72	0.13	0.13
ATL0150-008-AM4		SHIDO, 1971	ATL0150	31.82	-42.42	0.01	-3700	-3700				Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		OFF-AXIS_SPREADING_CENTER	47.55	2.63	13.91	4.31		9.15		6.15	10.85	2.59	0.2	0.21
BAK1964-BV17		O'NIONS, 1974	BAK1962	-54.4	3.4	0.1						AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OCEAN_ISLAND										2.36	0.15	
BAK1964-BV18		O'NIONS, 1974	BAK1962	-54.4	3.4	0.1						AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OCEAN_ISLAND										2.55	0.73	
BAK1964-BV3		O'NIONS, 1974	BAK1962	-54.4	3.4	0.1						AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OCEAN_ISLAND										2.8	1.38	
BAK1964-BV5		O'NIONS, 1974	BAK1962	-54.4	3.4	0.1						AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OCEAN_ISLAND										2.22	0.22	
BATGUAD-D-3		BATIZA, 1977	BATGUAD	29	-118	1						Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:INTERMEDIATE	TRACHYTE		OCEAN_ISLAND	67.9	0.62	16.4	2.14		0.59		0.57	1.09	5.57	4.11	0.14
BATGUAD-G-16		BATIZA, 1977	BATGUAD	29	-118	1						Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:INTERMEDIATE	HAWAIITE		OCEAN_ISLAND	47.3	3.67	16.1	3.86		9.9		4.62	8.69	3.5	1.84	0.61
BATGUAD-G-29		BATIZA, 1977	BATGUAD	29	-118	1						Unknown	WHOLE ROCK	IGNEOUS:PLUTONIC:INTERMEDIATE	SYENITE		OCEAN_ISLAND	68.1	0.26	17.3	1.82		0.53		0.002	0.17	5.52	5.38	0.35
BATGUAD-G-34		BATIZA, 1977	BATGUAD	29	-118	1						Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:INTERMEDIATE	BENMOREITE		OCEAN_ISLAND	56.4	1.28	19.5	5.39		0.95		1.37	3.43	5.67	3.54	0.53
BATGUAD-GS-29		BATIZA, 1977	BATGUAD	29	-118	1						Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:INTERMEDIATE	MUGEARITE		OCEAN_ISLAND	54.7	1.44	19.1	7.23		0.37		1.9	4.8	5.1	2.66	0.61
BATGUAD-GS-44		BATIZA, 1977	BATGUAD	29	-118	1						Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	ALKALI BASALT		OCEAN_ISLAND	47	2.82	14.8	3.66		8.91		7.2	9.6	3.27	1.92	0.45
BATGUAD-GS-60		BATIZA, 1977	BATGUAD	29	-118	1						Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	ALKALI BASALT		OCEAN_ISLAND	45.4	2.81	15.6	2.81		9.81		7.55	10.07	3.27	1.16	0.41
BMRG08MV-081-001-001		MEFFRE, 2012	MELBMRG-8	-26.071	-175.957	0.001	-3864	-3864				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:FELSIC	RHYOLITE		FOREARC	74.58	0.32	13.39				3.18	1.8	1.66	4.81	0.16	0.04
BMRG08MV-082-001-009		MEFFRE, 2012	MELBMRG-8	-25.856	-175.434	0.001	-5827	-5827				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		FOREARC	48.61	1.48	16.51				8.92	9.2	8.51	5.18	1.24	0.2
BMRG08MV-082-001-016		MEFFRE, 2012	MELBMRG-8	-25.856	-175.434	0.001	-5827	-5827				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		FOREARC	49.72	1.52	15.86				9.12	6.47	9.45	6.1	1.36	0.23
BMRG08MV-082-002-008		BIRNER, 2017; MEFFRE, 2012	MELBMRG-8	-25.856	-175.434	0.001	-5827	-5827				XRF	WHOLE ROCK	IGNEOUS:PLUTONIC:ULTRAMAFIC	PERIDOTITE		FOREARC	39.27	0.01	0.81				7.15	36.65	0.53	0.18	0.01	0.01
BMRG08MV-082-003-002		MEFFRE, 2012	MELBMRG-8	-25.856	-175.434	0.001	-5827	-5827				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	DOLERITE		FOREARC	43.77	0.03	25.27				2.75	11.96	15.02	1.13	0.02	0.01
BMRG08MV-085-001-001		MEFFRE, 2012	MELBMRG-8	-23.344	-175.125	0.001	-5857	-5857				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:INTERMEDIATE	ANDESITE		FOREARC	54.22	0.99	16.54				10.14	4.45	9.62	2.99	0.72	0.15
BMRG08MV-088-001-009		MEFFRE, 2012	MELBMRG-8	-22.381	-174.546	0.001	-4133	-4133				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:INTERMEDIATE	BONINITE		FOREARC	55.89	0.27	13.11				7.6	11.44	9.13	1.94	0.42	0.03
BMRG08MV-089-003-016		MEFFRE, 2012	MELBMRG-8	-21.839	-173.985	0.001	-7803	-7803				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		FOREARC	51.74	1.33	15.46				11.49	6.17	9.5	3.07	0.85	0.24
BMRG08MV-090-001-008		MEFFRE, 2012	MELBMRG-8	-21.8432	-174.12	0.0001	-5893	-5893				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		FOREARC	52.56	1.04	14.43				10.77	7.36	10.02	3.37	0.16	0.1
BMRG08MV-090-001-013		MEFFRE, 2012	MELBMRG-8	-21.8432	-174.12	0.0001	-5893	-5893				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		FOREARC	50.92	0.95	15.62				9.71	8.49	11.09	2.48	0.48	0.09
BMRG08MV-090-001-014		MEFFRE, 2012	MELBMRG-8	-21.8432	-174.12	0.0001	-5893	-5893				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		FOREARC	51.09	0.77	15.62				8.46	9.05	12.36	2.02	0.4	0.05
BMRG08MV-096-001-002		MEFFRE, 2012	MELBMRG-8	-20	-173.433	0.001	-4880	-4880				XRF	WHOLE ROCK	IGNEOUS:PLUTONIC:MAFIC	GABBRO		FOREARC	72.11	0.41	13.01				5.76	0.48	2.15	5.95	0.02	0.09
BMRG08MV-096-001-015		MEFFRE, 2012	MELBMRG-8	-20	-173.433	0.001	-4880	-4880				XRF	WHOLE ROCK	IGNEOUS:PLUTONIC:MAFIC	GABBRO		FOREARC	67.36	0.79	14.22				7.09	1.24	3.49	5.41	0.03	0.29
BMRG08MV-098-002-001		BIRNER, 2017; MEFFRE, 2012	MELBMRG-8	-19.252	-172.948	0.001	-9371	-9371				XRF	WHOLE ROCK	IGNEOUS:PLUTONIC:ULTRAMAFIC	HARZBURGITE		FOREARC	44.21	0.01	0.73				8.75	46.52	0.76	0.05	0.01	0.01
BMRG08MV-099-001-003		FALLOON, 2014	MELBMRG-8	-19.1835	-172.975	0.001	-7531	-7531				XRF	WHOLE ROCK	IGNEOUS:PLUTONIC:MAFIC	GABBRO		FOREARC	50.54	0.35	16.91				4.66	9.56	16.15	1.7	0.02	0.01
BMRG08MV-099-001-004		FALLOON, 2014	MELBMRG-8	-19.1835	-172.975	0.001	-7531	-7531				XRF	WHOLE ROCK	IGNEOUS:PLUTONIC:MAFIC	GABBRO		FOREARC	48.63	0.26	17.6				5.78	11.18	14.67	1.66	0.09	0.01
BMRG08MV-099-001-006		FALLOON, 2014	MELBMRG-8	-19.1835	-172.975	0.001	-7531	-7531				XRF	WHOLE ROCK	IGNEOUS:PLUTONIC:MAFIC	GABBRO		FOREARC	47.59	0.25	14.42				7.6	15.57	13.24	1.17	0.01	0.01
BMRG08MV-099-001-026		FALLOON, 2014	MELBMRG-8	-19.1835	-172.975	0.001	-7531	-7531				XRF	WHOLE ROCK	IGNEOUS:PLUTONIC:MAFIC	GABBRO		FOREARC	50.75	0.35	17.63				4.41	8.73	16.15	1.84	0.03	0.01
BMRG08MV-099-001-033		FALLOON, 2014	MELBMRG-8	-19.1835	-172.975	0.001	-7531	-7531				XRF	WHOLE ROCK	IGNEOUS:PLUTONIC:MAFIC	GABBRO		FOREARC	51.04	0.28	17.11				6.09	9.57	13.91	1.8	0.05	0.01
BMRG08MV-099-002-001		FALLOON, 2014	MELBMRG-8	-19.1835	-172.975	0.001	-7531	-7531				XRF	WHOLE ROCK	IGNEOUS:PLUTONIC:MAFIC	GABBRO		FOREARC	50.31	0.23	20.1				5.05	8.4	13.39	2.28	0.16	
BMRG08MV-099-002-008		FALLOON, 2014	MELBMRG-8	-19.1835	-172.975	0.001	-7531	-7531				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	DOLERITE		FOREARC	54.71	1.75	14.31				11.44	3.93	12.97	0.29	0.02	0.15
BMRG08MV-099-002-010		FALLOON, 2014	MELBMRG-8	-19.1835	-172.975	0.001	-7531	-7531				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	DOLERITE		FOREARC	51.95	1.9	14.91				12.24	6.67	7.5	4.06	0.22	0.15
BMRG08MV-100-001-008		FALLOON, 2014	MELBMRG-8	-19.06	-173.042	0.001	-6020	-6020				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		FOREARC	50.75	1.09	15.22				10	7.96	10.74	1.04	0.47	0.1
BMRG08MV-100-001-019		FALLOON, 2014	MELBMRG-8	-19.06	-173.042	0.001	-6020	-6020				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		FOREARC	50.47	0.71	16.4				8.34	8.59	12.32	2.67	0.26	0.04
BMRG08MV-100-001-020		FALLOON, 2014	MELBMRG-8	-19.06	-173.042	0.001	-6020	-6020				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		FOREARC	49.83	0.71	16.29				8.31	8.79	12.29	2.43	0.38	0.08
BMRG08MV-100-001-021		FALLOON, 2014	MELBMRG-8	-19.06	-173.042	0.001	-6020	-6020				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		FOREARC	50.05	0.9	16.68				8.57	8.29	11.56	3.17	0.55	0.08
BMRG08MV-100-001-032		FALLOON, 2014	MELBMRG-8	-19.06	-173.042	0.001	-6020	-6020				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		FOREARC	50.35	0.95	17.38				8.94	7.79	10.77	2.96	0.61	0.09
BMRG08MV-100-001-039		FALLOON, 2014	MELBMRG-8	-19.06	-173.042	0.001	-6020	-6020				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	DOLERITE		FOREARC	50.01	1.49	14.31				10.49	9.98	10.28	2.94	0.16	0.16
BMRG08MV-100-001-040		FALLOON, 2014	MELBMRG-8	-19.06	-173.042	0.001	-6020	-6020				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	DOLERITE		FOREARC	51.34	2.05	14.35				11.68	6.4	9.5	3.92	0.32	0.25
BMRG08MV-102-001-020		MEFFRE, 2012	MELBMRG-8	-18.27	-172.83	0.001	-4575	-4575				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:INTERMEDIATE	BONINITE		FOREARC	53.4	0.18	13.89				8.57	10.55	9.56	2	1.7	0.02
BMRG08MV-102-004-001		MEFFRE, 2012	MELBMRG-8	-18.27	-172.83	0.001	-4575	-4575				XRF	WHOLE ROCK	IGNEOUS:PLUTONIC:FELSIC	GRANITE		FOREARC	74.54	0.31	13.73				1.71	0.83	3.17	5.22	0.39	0.06
BMRG08MV-051-001-009		MEFFRE, 2012	MELBMRG-8	-17.869	-172.607	0.001	-6608	-6608				XRF	WHOLE ROCK	IGNEOUS:PLUTONIC:MAFIC	GABBRO		FOREARC	55.19	0.41	20.16				3.41	5.15	9.44	4.98	1.16	0.03
BMRG08MV-107-001-004		MEFFRE, 2012	MELBMRG-8	-16.523	-172.3	0.001	-6590	-6590				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:INTERMEDIATE	ANDESITE		FOREARC	55.65	1.04	15.63				11.3	4.17	8.78	2.73	0.42	0.07
BMRG08MV-107-001-007		MEFFRE, 2012	MELBMRG-8	-16.523	-172.3	0.001	-6590	-6590				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	DOLERITE		FOREARC	45.09	1.76	21.45				9.32	5.97	14.7	1.3	0.09	0.13
BMRG08MV-107-001-010		MEFFRE, 2012	MELBMRG-8	-16.523	-172.3	0.001	-6590	-6590				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:FELSIC	RHYOLITE		FOREARC	74.24	0.24	13.46				3.14	0.52	3.42	4.06	0.79	0.05
BMRG08MV-108-003-010		MEFFRE, 2012	MELBMRG-8	-16.527	-172.458	0.001	-4828	-4828				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	DOLERITE		FOREARC	55.04	1.43	16.07				11.05	6.14	5.49	4.22	0.24	0.09
BMRG08MV-109-002-005		MEFFRE, 2012	MELBMRG-8	-16.5298	-172.657	0.0001	-4357	-4357				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		FOREARC	50.11	1.42	14.81				11.35	7.38	11.6	2.69	0.31	0.13
BMRG08MV-111-001-008		MEFFRE, 2012	MELBMRG-8	-16.527	-172.458	0.001	-4828	-4828				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	THOLEIITE		FOREARC	49.78	1.77	14.35				12.07	7.21	11.57	2.67	0.2	0.15
BMRG08MV-111-004-006		MEFFRE, 2012	MELBMRG-8	-16.527	-172.458	0.001	-4828	-4828				XRF	WHOLE ROCK	IGNEOUS:PLUTONIC:MAFIC	GABBRO		FOREARC	52.88	0.5	18.12				7.99	6.47	10.84	2.73	0.25	0.04
BMRG08MV-113-001-032		MEFFRE, 2012	MELBMRG-8	-14.8019	-173.4	0.001	-4300	-4496				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:FELSIC	RHYOLITE		FOREARC	76.71	0.33	10.55				4.98	1.08	1.72	4.35	0.11	0.07
BMRG08MV-113-002-012		MEFFRE, 2012	MELBMRG-8	-14.8019	-173.4	0.001	-4300	-4496				XRF	WHOLE ROCK	IGNEOUS:PLUTONIC:MAFIC	GABBRO		FOREARC	70.13	0.15	14.03				4.77	2.27	4.86	3.37	0.3	0.04
BMRG08MV-114-001-038		MEFFRE, 2012	MELBMRG-8	-14.7498	-173.358	0.0001	-6563	-6563				XRF	WHOLE ROCK	IGNEOUS:PLUTONIC:MAFIC	GABBRO		FOREARC	46.64	0.96	16.38				8.78	15.18	9.78	2	0.09	0.03
BMRG08MV-114-002-025		BIRNER, 2017; MEFFRE, 2012	MELBMRG-8	-14.7498	-173.358	0.0001	-6563	-6563				XRF	WHOLE ROCK	IGNEOUS:PLUTONIC:ULTRAMAFIC	PERIDOTITE		FOREARC	39.08	0.01	0.53				7.85	37.68	0.54	0.12	0.01	0.01
BMRG08MV-114-003-002		MEFFRE, 2012	MELBMRG-8	-14.7498	-173.358	0.0001	-6563	-6563				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:INTERMEDIATE	BONINITE		FOREARC	52.57	0.38	14.34				7.35	12.44	10.79	1.63	0.25	0.1
BOSE-MAR-95TRBD		ISHIZUKA, 2009	BOSMAXX	31.533	135.827	0.001	-2462	-2462		11.3		XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		BACK-ARC_BASIN	48.44	1.65	17	9.33				4.93	8.99	3.26	1.16	0.6
CHR0083-001-003-004		KENDRICK, 2014	CHR0083	-17.87	-148.07	0.01	-2700	-2500				EMP	GLASS	IGNEOUS:VOLCANIC:MAFIC	BASALT		OCEAN_ISLAND	44.9	4.2	15.8			12		5.3	10.7	3.9	2	0.8
CHR0083-003-003-001		KENDRICK, 2014	CHR0083	-17.49	-148.84	0.01	-2800	-2100				EMP	GLASS	IGNEOUS:VOLCANIC:MAFIC	BASALT		OCEAN_ISLAND	45.9	4	13.6			11.9		6.9	11.3	3	1.7	0.7
CHRPOP1-003		SHINJO, 1999	CHRPOP1	27.0332	126.615	0.0001	-1220	-1220				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		BACK-ARC_BASIN	52.66	1.13	17.56		9.44			6.01	10.54	2.68	0.56	0.21
CHRPOP1-004		SHINJO, 1999	CHRPOP1	25.2345	124.407	0.0001	-2250	-2250				XRF	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		BACK-ARC_BASIN	54.74	1.42	15.45		13.13			3.65	8.16	3.19	0.66	0.19
CHRRI88-003-101		DOSSO, 1993	CHRR188	14.892	-48.777	0.001	-1350	-1350				Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OFF-AXIS_SPREADING_CENTER	46.78	2.03	16.6		7.53			3.85	18.14	3.23	1.28	0.42
CHRRI88-005-101		DOSSO, 1993	CHRR188	14.883	-47.05	0.001	-3470	-3470				Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OFF-AXIS_SPREADING_CENTER	49.94	1.62	15		10.42			7.42	12.21	2.76	0.57	0.21
CHRRI88-005-103		DOSSO, 1993	CHRR188	14.883	-47.05	0.001	-3470	-3470				Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OFF-AXIS_SPREADING_CENTER	49.4	1.29	15.87		9.39			10.47	10.12	2.59	0.16	0.15
CHRRI88-006-101		DOSSO, 1993	CHRR188	14.27	-45.903	0.001	-3190	-3190				Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OFF-AXIS_SPREADING_CENTER	48	2.05	16.9		10.85			5.87	11.68	3.2	0.9	0.45
CHRRI88-006-102		DOSSO, 1993	CHRR188	14.27	-45.903	0.001	-3190	-3190				Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OFF-AXIS_SPREADING_CENTER	46.6	2.6	17.8		11.22			5.17	10.77	3.4	1.37	0.76
CHRRI88-007-101		DOSSO, 1993	CHRR188	14.678	-45.515	0.001	-2490	-2490				Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OFF-AXIS_SPREADING_CENTER	50	1.68	15.9		10.5			7.2	11.5	2.46	0.63	0.26
CHRRI88-007-102		DOSSO, 1993	CHRR188	14.678	-45.515	0.001	-2490	-2490				Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OFF-AXIS_SPREADING_CENTER	51.6	1.78	15.54		10.53			6.5	11.1	2.59	0.75	0.27
CHRRI88-007-103		DOSSO, 1993	CHRR188	14.678	-45.515	0.001	-2490	-2490				Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OFF-AXIS_SPREADING_CENTER	52.3	1.74	15.56		8.69			6.1	11.51	2.61	0.77	0.26
CHRRI88-007-107		DOSSO, 1993	CHRR188	14.678	-45.515	0.001	-2490	-2490				Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OFF-AXIS_SPREADING_CENTER	51.4	1.68	15.37		10.39			5.85	11.1	2.62	0.87	0.23
CHRRI88-011-102		DOSSO, 1993	CHRR188	15.983	-48.117	0.001	-4740	-4740				Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OFF-AXIS_SPREADING_CENTER	50	1.48	16		9.07			6.2	12.43	3.29	0.22	0.18
CHRRI88-011-103		DOSSO, 1993	CHRR188	15.983	-48.117	0.001	-4740	-4740				Unknown	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		OFF-AXIS_SPREADING_CENTER	50.4	1.5	16.1		8.77			6.4	12.5	3.39	0.2	0.18
CHRSPS2-002-005		NAKADA, 1994	CHRSPS2	-12.2	167.7	0.01						AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		BACK-ARC_BASIN	49	1.15	16.5	1.52		7.76		8.55	12.4	2.3	0.28	0.05
CHRSPS2-003-001		NAKADA, 1994	CHRSPS2	-12.182	167.702	0.001	-900	-1350		1.8		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:INTERMEDIATE	ANDESITE		BACK-ARC_BASIN	57.9	1.82	15.75	1.39		7.11		2.41	5.58	5.34	0.71	0.18
CHRSPS2-003-002		MONJARET, 1991	CHRSPS2	-12.182	167.702	0.001	-900	-1350		1.5		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:INTERMEDIATE	ANDESITE		BACK-ARC_BASIN											0.71	
CHRSPS2-003-003		MONJARET, 1991	CHRSPS2	-12.182	167.702	0.001	-900	-1350		1.8		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		BACK-ARC_BASIN											0.38	
CHRSPS2-003-004		MONJARET, 1991	CHRSPS2	-12.182	167.702	0.001	-900	-1350		1.1		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		BACK-ARC_BASIN											0.17	
CHRSPS2-005-001		MONJARET, 1991	CHRSPS2	-12.147	167.813	0.001	-1650	-1850		2.9		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		BACK-ARC_BASIN											0.23	
CHRSPS2-005-004		MONJARET, 1991	CHRSPS2	-12.147	167.813	0.001	-1650	-1850		3.9		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		BACK-ARC_BASIN	50.15	0.79	16.53	1.37		6.99		7.51	12.83	2.33	0.27	0.05
CHRSPS2-005-005		NAKADA, 1994	CHRSPS2	-12.147	167.813	0.001	-1650	-1850				AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		BACK-ARC_BASIN	49.5	0.85	16.65	1.52		7.76		7.35	13.05	2.44	0.31	0.05
CHRSPS2-006-001		MONJARET, 1991	CHRSPS2	-12.263	167.85	0.001	-2120	-2450		2.6		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		BACK-ARC_BASIN											0.54	
CHRSPS2-007-002		MONJARET, 1991	CHRSPS2	-12.282	167.878	0.001	-1930	-2165		12.4		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		BACK-ARC_BASIN	47	1.36	17.6	1.56		7.96		8.3	12.22	3.2	0.11	0.05
CHRSPS2-007-004		MONJARET, 1991	CHRSPS2	-12.282	167.878	0.001	-1930	-2165		2.3		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:INTERMEDIATE	ANDESITE		BACK-ARC_BASIN											1.2	
CHRSPS2-010-001		MONJARET, 1991	CHRSPS2	-13.413	167.993	0.001	-1800	-2130		2.8		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		BACK-ARC_BASIN	49.4	1.03	18.25	1.61		8.22		5.85	10.82	2.97	0.57	0.1
CHRSPS2-010-002		MONJARET, 1991	CHRSPS2	-13.413	167.993	0.001	-1800	-2130		2.7		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		BACK-ARC_BASIN											0.67	
CHRSPS2-011-001		MONJARET, 1991	CHRSPS2	-13.362	167.932	0.001	-1550	-2000		4.9		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		BACK-ARC_BASIN											0.98	
CHRSPS2-011-002		MONJARET, 1991	CHRSPS2	-13.362	167.932	0.001	-1550	-2000		4.8		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		BACK-ARC_BASIN											1.06	
CHRSPS2-012-001		MONJARET, 1991	CHRSPS2	-13.357	167.802	0.001	-1600	-2200		2.8		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		BACK-ARC_BASIN											0.66	
CHRSPS2-014-001		MONJARET, 1991	CHRSPS2	-13.693	168.48	0.001	-2870	-3800		5.5		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		BACK-ARC_BASIN											0.26	
CHRSPS2-014-002		MONJARET, 1991	CHRSPS2	-13.693	168.48	0.001	-2870	-3800		5.2		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		BACK-ARC_BASIN											0.21	
CHRSPS2-015-006		MONJARET, 1991	CHRSPS2	-13.698	168.493	0.001	-2500	-2900		4.1		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		BACK-ARC_BASIN	51.2	0.72	17.05	1.5		7.65		5.45	1.074	2.42	0.68	0.12
CHRSPS2-015-012		MONJARET, 1991	CHRSPS2	-13.698	168.493	0.001	-2500	-2900		3.5		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		BACK-ARC_BASIN											4.07	
CHRSPS2-016-001		MONJARET, 1991	CHRSPS2	-19.797	170.275	0.001	-2500	-3320		5.2		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:INTERMEDIATE	ANDESITE		BACK-ARC_BASIN	53.45	0.82	14.72	1.44		7.37		4.57	6.71	3.41	1.84	0.3
CHRSPS2-017-003		MONJARET, 1991	CHRSPS2	-19.78	170.305	0.001	-2150	-2900		6.1		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:INTERMEDIATE	ANDESITE		BACK-ARC_BASIN											1.74	
CHRSPS2-019-001		MONJARET, 1991	CHRSPS2	-19.77	170.343	0.001	-1550	-1750		2.6		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:MAFIC	BASALT		BACK-ARC_BASIN											0.81	
CHRSPS2-020-001		MONJARET, 1991	CHRSPS2	-19.427	169.925	0.001	-1000	-1400		0.7		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:INTERMEDIATE	ANDESITE		BACK-ARC_BASIN											0.53	
CHRSPS2-020-006		MONJARET, 1991	CHRSPS2	-19.427	169.925	0.001	-1000	-1400		0.7		AAS	WHOLE ROCK	IGNEOUS:VOLCANIC:INTERMEDIATE	ANDESITE		BACK-ARC_BASIN											0.88	
