,LATITUDE,LONGITUDE,ROCK TYPE,ROCK NAME,SIO2,NA2O,K2O
107,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.67,2.21,0.44
108,18.8233,-155.71200000000002,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.16,2.16,0.35
109,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,51.81,2.26,0.45
110,19.1055,-156.321,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.07,2.14,0.37
111,18.6972,-155.77100000000002,IGNEOUS:VOLCANIC:MAFIC,PICRITE,49.06,1.63,0.32
112,19.4333,-155.972,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.4,2.16,0.33
113,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,50.51,1.84,0.21
114,64.3895,-21.235,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.2,2.06,0.27
115,64.3895,-21.235,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.04,1.4,0.18
116,64.0061,-21.3589,IGNEOUS:VOLCANIC:MAFIC,BASALT,49.0,2.11,0.09
117,64.0061,-21.3589,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.1,1.28,0.06
118,64.7664,-20.6243,IGNEOUS:VOLCANIC:MAFIC,BASALT,47.87,2.05,0.16
119,19.3517,-155.965,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.81,2.1,0.37
120,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.93,1.78,0.27
121,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.5,2.71,0.39
122,18.8817,-155.704,IGNEOUS:VOLCANIC:MAFIC,PICRITE,47.15,1.65,0.21
123,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,50.06,2.35,0.33
124,18.8799,-155.697,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.75,2.99,0.51
125,19.7408,-155.05,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,48.8,1.95,0.26
126,18.6423,-155.766,IGNEOUS:VOLCANIC:MAFIC,PICRITE,48.81,1.55,0.25
127,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,46.72,1.81,0.17
128,64.4815,-20.4269,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.15,1.96,0.18
129,64.9663,-19.8663,IGNEOUS:VOLCANIC:MAFIC,BASALT,49.25,1.33,0.06
130,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,49.22,1.76,0.36
131,64.4855,-20.7345,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.54,1.55,0.15
132,18.8252,-155.704,IGNEOUS:VOLCANIC:MAFIC,PICRITE,49.11,1.67,0.29
133,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.5,2.0,0.38
134,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.95,2.24,0.35
135,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,48.98,1.76,0.32
136,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,45.45,1.09,0.12
137,18.7572,-155.792,IGNEOUS:VOLCANIC:MAFIC,PICRITE,46.7,1.16,0.2
138,19.7408,-155.05,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,46.47,1.61,0.09
139,21.6334,-159.042,IGNEOUS:VOLCANIC:MAFIC,BASALT,45.47,2.9,1.64
140,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,46.96,1.93,0.13
141,18.8233,-155.715,IGNEOUS:VOLCANIC:MAFIC,PICRITE,48.41,1.37,0.31
142,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,47.96,1.64,0.33
143,18.8232,-155.713,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.3,2.36,0.36
144,19.4625,-156.005,IGNEOUS:VOLCANIC:MAFIC,PICRITE,48.34,1.48,0.23
145,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.48,2.52,0.43
146,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,50.41,2.42,0.31
147,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.83,2.31,0.42
148,64.7004,-20.8824,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.36,1.82,0.1
149,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.48,2.24,0.37
150,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.43,2.5,0.44
151,18.942,-155.887,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.59,2.42,0.41
152,18.6875,-155.695,IGNEOUS:VOLCANIC:MAFIC,PICRITE,47.21,1.29,0.19
153,64.797,-19.4688,IGNEOUS:VOLCANIC:MAFIC,BASALT,49.6,1.91,1.43
154,22.0367,-158.92,IGNEOUS:VOLCANIC:MAFIC,BASALT,,,
155,22.0367,-158.92,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.74,2.26,0.58
156,19.4608,-155.984,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.64,2.32,0.46
157,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.28,2.3,0.37
158,21.7323,-158.999,IGNEOUS:VOLCANIC:MAFIC,BASALT,,,
159,21.7323,-158.999,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.29,2.2,0.41
160,18.8793,-155.694,IGNEOUS:VOLCANIC:MAFIC,PICRITE,49.21,2.24,0.26
161,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,47.18,1.56,0.1
162,63.8753,-21.5461,IGNEOUS:VOLCANIC:MAFIC,BASALT,49.47,1.8,0.05
163,19.465999999999998,-155.974,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.79,2.1,0.36
164,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.97,2.19,0.3
165,18.7572,-155.792,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.9,1.96,0.4
166,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,47.56,1.44,0.24
167,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,46.45,1.75,0.22
168,19.6,-155.97,IGNEOUS:VOLCANIC:MAFIC,BASALT,46.92,2.81,0.88
169,19.7408,-155.05,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,49.59,2.19,0.15
170,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,49.85,1.74,0.11
171,22.0212,-158.904,IGNEOUS:VOLCANIC:MAFIC,BASALT,,,
172,22.0212,-158.904,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.22,2.18,0.51
173,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,45.78,1.32,0.28
174,18.9105,-155.99,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.15,2.39,0.38
175,64.8888,-20.089000000000002,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.8,1.58,0.11
176,63.8806,-21.6138,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.48,2.21,0.18
177,18.7572,-155.792,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.72,1.93,0.3
178,19.7408,-155.05,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,50.47,2.55,0.18
179,18.95,-155.983,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.44,2.47,0.65
180,64.3486,-20.539,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.0,2.25,0.26
181,64.3486,-20.539,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.14,1.91,0.24
182,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.69,2.22,0.36
183,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,46.98,1.86,0.3
184,18.8829,-155.72,IGNEOUS:VOLCANIC:MAFIC,PICRITE,47.99,2.03,0.25
185,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,49.73,2.03,0.45
186,18.6192,-155.775,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.13,1.98,0.39
187,64.2824,-20.8691,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.47,1.95,0.21
188,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,47.01,1.54,0.29
189,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,49.45,1.93,0.34
190,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.46,1.99,0.4
191,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,49.01,1.74,0.35
192,18.8333,-155.733,IGNEOUS:VOLCANIC:MAFIC,PICRITE,49.17,1.81,0.27
193,18.8829,-155.71200000000002,IGNEOUS:VOLCANIC:MAFIC,PICRITE,45.01,1.21,0.17
194,18.8228,-155.71,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.29,2.01,0.34
195,19.4433,-155.95600000000002,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.46,2.11,0.35
196,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,47.92,1.76,0.31
197,19.4755,-156.164,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.53,2.48,0.47
198,64.4936,-20.7753,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.4,1.98,0.14
199,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,45.05,0.91,0.05
200,18.825,-155.708,IGNEOUS:VOLCANIC:MAFIC,PICRITE,48.64,1.55,0.26
201,19.4652,-155.975,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.98,2.12,0.36
202,19.75,-155.93,IGNEOUS:PLUTONIC:ULTRAMAFIC,PERIDOTITE,,,
203,19.4245,-156.135,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.01,2.25,0.32
204,64.4815,-20.4269,IGNEOUS:VOLCANIC:MAFIC,BASALT,49.03,1.99,0.18
205,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,50.18,2.15,0.26
206,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,46.78,1.58,0.15
207,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.35,2.05,0.24
208,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,44.35,0.81,0.08
209,18.8333,-155.733,IGNEOUS:VOLCANIC:MAFIC,PICRITE,48.11,1.58,0.23
210,64.5874,-20.6468,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.1,1.39,0.12
211,21.7328,-158.999,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.22,1.69,0.39
212,19.1565,-155.963,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.35,2.33,0.42
213,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.86,2.04,0.43
214,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,47.78,1.57,0.24
215,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.64,2.39,0.5
216,18.9105,-155.99,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.13,2.33,0.36
217,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,46.76,1.43,0.27
218,22.2668,-158.967,IGNEOUS:VOLCANIC:MAFIC,BASALT,,,
219,22.2668,-158.967,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.07,1.63,0.25
220,18.92,-155.67,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.46,2.33,0.37
221,19.62,-155.93,IGNEOUS:VOLCANIC:MAFIC,BASALT,47.25,2.7,0.85
222,18.6863,-155.738,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.09,1.57,0.28
223,19.7408,-155.05,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,50.18,2.13,0.34
224,18.644000000000002,-155.765,IGNEOUS:VOLCANIC:MAFIC,PICRITE,47.74,1.26,0.21
225,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.76,2.41,0.38
226,64.3308,-20.5931,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.31,2.2,0.28
227,64.3308,-20.5931,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.4,2.16,0.28
228,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.32,2.35,0.37
229,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,50.69,2.15,0.31
230,18.8069,-155.85,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.76,2.15,0.34
231,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,52.27,2.26,0.47
232,64.4815,-20.4269,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.17,1.9,0.17
233,19.1055,-156.321,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.12,2.3,0.42
234,19.3742,-155.937,IGNEOUS:VOLCANIC:MAFIC,ALKALI BASALT,46.83,3.54,0.86
235,64.0277,-21.4181,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.76,1.63,0.18
236,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.2,2.11,0.48
237,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.6,2.19,0.37
238,18.679000000000002,-155.687,IGNEOUS:VOLCANIC:MAFIC,PICRITE,45.77,1.14,0.17
239,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.05,2.17,0.43
240,63.9412,-21.518,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.89,1.97,0.32
241,64.3663,-20.673000000000002,IGNEOUS:VOLCANIC:MAFIC,BASALT,49.46,1.37,0.1
242,18.8829,-155.714,IGNEOUS:VOLCANIC:MAFIC,PICRITE,44.94,1.19,0.19
243,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,46.38,1.54,0.21
244,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.58,1.65,0.34
245,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,49.96,2.16,0.43
246,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,50.76,2.65,0.34
247,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.01,1.73,0.29
248,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,50.35,2.09,0.3
249,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,46.09,1.59,0.18
250,19.7408,-155.05,IGNEOUS:VOLCANIC:MAFIC,BASALT,,1.5,0.44
251,19.7408,-155.05,IGNEOUS:VOLCANIC:MAFIC,BASALT,,,
252,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,47.49,1.43,0.19
253,18.8527,-155.92600000000002,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.47,2.59,0.43
254,19.7408,-155.05,IGNEOUS:VOLCANIC:MAFIC,BASALT,,1.54,0.46
255,19.7408,-155.05,IGNEOUS:VOLCANIC:MAFIC,BASALT,,,
256,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.66,1.97,0.44
257,64.0193,-20.6607,IGNEOUS:VOLCANIC:MAFIC,BASALT,47.23,1.92,0.13
258,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,47.31,1.31,0.1
259,19.51,-155.5,IGNEOUS:VOLCANIC:MAFIC,THOLEIITE,50.29,1.82,0.23
260,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,47.68,1.48,0.27
261,64.3486,-20.539,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.13,1.86,0.24
262,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.09,1.99,0.4
263,19.1055,-156.321,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.38,2.19,0.29
264,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.57,2.16,0.37
265,21.498,-159.014,IGNEOUS:VOLCANIC:MAFIC,BASALT,48.02,2.99,0.73
266,21.498,-159.014,IGNEOUS:VOLCANIC:MAFIC,BASALT,47.57,2.72,0.69
267,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.48,2.43,0.37
268,19.3,-155.5,IGNEOUS:VOLCANIC:MAFIC,BASALT,51.54,2.48,0.47
